row_number,status,duplicate_of,date,amount,type,category,description,vendor,customer,payment_method,reference_number,invoice_number,gst_amount,tds_amount,status,notes
7072,duplicate_flagged,Same invoice number as an existing transaction,2025-08-01,89004.71,tax,Bank Charges,GST liability payment,,,bank_transfer,REF2025588672,INV-2025-24563,0.0,0.0,completed,
7073,imported,,2022-10-15,295387.4,income,Other Income,Export order payment,,Walk-in Customer,wallet,REF2022876487,INV-2022-44715,11538.57,0.0,completed,
7074,imported,,2025-12-27,67001.79,expense,Travel,Raw material purchase,,,bank_transfer,REF2025908120,INV-2025-18152,0.0,0.0,cancelled,
7075,imported,,2025-09-14,227759.0,income,Sales,Invoice payment received,,Walk-in Customer,cheque,REF2025368224,INV-2025-97133,23161.93,0.0,pending,
7076,duplicate_flagged,Same invoice number as an existing transaction,2022-02-11,291412.78,income,Interest Income,Client project milestone payment,,,credit_card,REF2022475506,INV-2022-50386,63746.55,0.0,completed,
7077,imported,,2022-11-03,26264.3,income,Other Income,Invoice payment received,,Retail Buyer,bank_transfer,REF2022273039,INV-2022-22213,0.0,0.0,cancelled,
7078,imported,,2021-08-15,46692.44,expense,Professional Fees,Raw material purchase,Delta Security Services,,upi,REF2021503821,INV-2021-92350,0.0,0.0,pending,
7079,imported,,2026-03-14,127217.36,expense,Travel,Repair and maintenance work,Fusion IT Services,,cash,REF2026532239,INV-2026-92500,0.0,0.0,completed,
7080,imported,,2021-05-31,147057.59,expense,Salaries,Monthly office rent,Prime Stationery,,upi,REF2021404135,INV-2021-90466,0.0,1470.58,completed,
7081,imported,,2025-10-19,98267.35,expense,Office Supplies,Raw material purchase,,,bank_transfer,REF2025802919,INV-2025-55275,0.0,0.0,completed,
7082,imported,,2023-05-06,15395.78,expense,Bank Charges,Courier and freight charges,Delta Security Services,,bank_transfer,REF2023667758,INV-2023-84255,0.0,0.0,completed,
7083,imported,,2022-09-30,14073.48,expense,Other Expense,Raw material purchase,Prime Stationery,,bank_transfer,REF2022209773,INV-2022-85661,3752.93,0.0,completed,
7084,duplicate_flagged,Same invoice number as an existing transaction,2021-09-07,122943.32,income,Service Revenue,Retainer fee received,,Walk-in Customer,cheque,REF2021714400,INV-2021-97455,26893.85,0.0,completed,
7085,duplicate_flagged,Same invoice number as an existing transaction,2022-12-07,21433.07,salary,Salaries,Monthly salary payout,,,cheque,REF2022980931,INV-2022-15517,0.0,0.0,completed,
7086,duplicate_flagged,Same invoice number as an existing transaction,2022-03-03,191983.44,income,Other Income,Retainer fee received,,Walk-in Customer,net_banking,REF2022523748,INV-2022-70145,9142.07,0.0,completed,
7087,imported,,2021-06-08,356065.2,income,Service Revenue,Invoice payment received,,,net_banking,REF2021629583,INV-2021-62247,77889.26,0.0,completed,
7088,imported,,2025-05-07,126266.51,expense,Other Expense,Business travel expense,Skyline Advertising,,upi,REF2025369810,INV-2025-80916,0.0,0.0,completed,
7089,imported,,2024-12-31,64106.6,expense,Travel,Business travel expense,,,bank_transfer,REF2024728545,INV-2024-24237,7326.47,0.0,completed,
7090,imported,,2021-08-29,918816.59,investment,Marketing,Mutual fund investment,,,bank_transfer,REF2021449861,INV-2021-24642,0.0,0.0,completed,
7091,imported,,2024-10-11,481171.92,income,Other Income,Client project milestone payment,,,credit_card,REF2024941165,INV-2024-24869,0.0,0.0,pending,
7092,imported,,2021-12-29,107917.98,expense,Other Expense,Raw material purchase,Apex Office Supplies,,cheque,REF2021566605,INV-2021-48747,17343.96,0.0,completed,
7093,imported,,2026-05-07,217547.67,income,Sales,Retainer fee received,,,bank_transfer,REF2026269767,INV-2026-45924,0.0,0.0,pending,
7094,imported,,2025-05-21,76042.93,expense,Salaries,Vendor invoice settlement,Delta Security Services,,credit_card,REF2025372932,INV-2025-67571,0.0,3802.15,completed,
7095,imported,,2021-07-05,241504.28,income,Sales,Invoice payment received,,,bank_transfer,REF2021741627,INV-2021-98695,10233.23,0.0,completed,
7096,imported,,2025-12-07,124996.74,expense,Utilities,Employee salary disbursement,Delta Security Services,,net_banking,REF2025155368,INV-2025-93136,0.0,0.0,completed,
7097,imported,,2024-11-03,95616.06,transfer,Rent,Petty cash transfer,,,bank_transfer,REF2024739167,INV-2024-20984,0.0,0.0,completed,
7098,duplicate_flagged,Same reference number as an existing transaction,2024-08-02,42701.73,expense,Bank Charges,Raw material purchase,,,net_banking,REF2024716113,INV-2024-91389,0.0,0.0,completed,
7099,imported,,2025-06-11,15370.04,income,Other Income,Client project milestone payment,,Corporate Client,debit_card,REF2025999464,INV-2025-55044,0.0,0.0,completed,
7100,imported,,2025-04-07,110557.41,expense,Bank Charges,Software subscription renewal,Greenfield Packaging,,upi,REF2025884739,INV-2025-93790,0.0,0.0,completed,
7101,imported,,2025-10-01,132346.83,income,Interest Income,Export order payment,,,cash,REF2025685903,INV-2025-48882,0.0,0.0,completed,
7102,duplicate_flagged,Same invoice number as an existing transaction,2025-12-26,29755.7,income,Interest Income,Service contract payment,,Retail Buyer,upi,REF2025967092,INV-2025-83315,6509.06,0.0,completed,
7103,imported,,2023-05-07,8889.47,other,Bank Charges,Miscellaneous transaction,,,cash,REF2023958852,INV-2023-76931,0.0,0.0,completed,
7104,duplicate_flagged,Same invoice number as an existing transaction,2025-06-24,103404.2,expense,Office Supplies,Repair and maintenance work,,,upi,REF2025937998,INV-2025-71359,0.0,0.0,completed,
7105,imported,,2025-06-27,183057.74,income,Interest Income,Retainer fee received,,Retail Buyer,cheque,REF2025619254,INV-2025-21102,0.0,0.0,completed,
7106,imported,,2024-05-16,344616.27,income,Other Income,Export order payment,,Corporate Client,other,REF2024784872,INV-2024-43958,0.0,0.0,completed,
7107,imported,,2023-09-26,112542.91,expense,Travel,Raw material purchase,,,bank_transfer,REF2023386531,INV-2023-75782,12862.05,0.0,completed,
7108,duplicate_flagged,Same invoice number as an existing transaction,2022-03-28,108349.79,expense,Professional Fees,Electricity bill payment,,,upi,REF2022637627,INV-2022-52787,23701.52,10834.98,completed,
7109,imported,,2021-09-11,64994.53,expense,Marketing,Vendor invoice settlement,,,upi,REF2021727700,INV-2021-97959,0.0,0.0,completed,
7110,imported,,2026-06-08,459605.38,income,Interest Income,Export order payment,,,other,REF2026644892,INV-2026-77812,0.0,0.0,completed,
7111,imported,,2021-08-16,253548.02,tax,Bank Charges,GST liability payment,Apex Office Supplies,,net_banking,REF2021157755,INV-2021-13913,0.0,0.0,completed,
7112,duplicate_flagged,Same invoice number as an existing transaction,2022-03-09,16710.86,transfer,Professional Fees,Petty cash transfer,,,cheque,REF2022723276,INV-2022-16019,0.0,835.54,completed,
7113,imported,,2025-10-26,916923.76,loan,Other Expense,Loan disbursement received,Greenfield Packaging,,cheque,REF2025367639,INV-2025-98584,0.0,0.0,completed,
7114,imported,,2025-05-13,226749.74,income,Sales,Retainer fee received,,Retail Buyer,upi,REF2025810292,INV-2025-27574,53805.02,0.0,completed,
7115,imported,,2024-08-21,106538.02,expense,Office Supplies,Business travel expense,,,cash,REF2024428963,INV-2024-19399,25280.21,0.0,pending,
7116,imported,,2026-06-25,110455.76,salary,Salaries,Monthly salary payout,,,bank_transfer,REF2026227240,INV-2026-18746,0.0,0.0,completed,
7117,imported,,2025-01-06,88553.35,expense,Bank Charges,Courier and freight charges,Fusion IT Services,,upi,REF2025878996,INV-2025-78954,0.0,0.0,completed,
7118,imported,,2023-09-08,2953.32,adjustment,Other Expense,Rounding-off adjustment,,,upi,REF2023570828,INV-2023-65069,0.0,0.0,completed,
7119,duplicate_flagged,Same invoice number as an existing transaction,2025-09-17,128199.93,expense,Utilities,Repair and maintenance work,Apex Office Supplies,,cheque,REF2025301656,INV-2025-13739,0.0,0.0,completed,
7120,imported,,2026-07-11,64044.98,expense,Professional Fees,Employee salary disbursement,CloudNet Hosting,,upi,REF2026951230,INV-2026-12476,0.0,0.0,completed,
7121,duplicate_flagged,Same invoice number as an existing transaction,2024-04-28,33332.44,income,Sales,Client project milestone payment,,,other,REF2024110885,INV-2024-83426,0.0,0.0,completed,
7122,imported,,2021-06-20,133879.76,expense,Bank Charges,Business travel expense,,,debit_card,REF2021304183,INV-2021-75671,0.0,0.0,completed,
7123,imported,,2023-01-07,88861.64,expense,Other Expense,Monthly office rent,,,cash,REF2023841087,INV-2023-62194,3765.32,0.0,completed,
7124,imported,,2023-07-23,123347.43,tax,Other Expense,TDS remittance to government,Fusion IT Services,,bank_transfer,REF2023382484,INV-2023-13096,0.0,0.0,completed,
7125,imported,,2025-07-25,377420.82,income,Sales,Service contract payment,,,upi,REF2025761014,INV-2025-66888,0.0,0.0,completed,
7126,duplicate_flagged,Same invoice number as an existing transaction,2022-07-14,323426.76,income,Service Revenue,Retainer fee received,,,net_banking,REF2022596694,INV-2022-96687,0.0,0.0,completed,
7127,imported,,2023-09-17,94144.04,expense,Marketing,Raw material purchase,Fusion IT Services,,net_banking,REF2023963662,INV-2023-53448,4483.05,0.0,completed,
7128,imported,,2026-02-07,219853.94,income,Other Income,Invoice payment received,,Retail Buyer,bank_transfer,REF2026637648,INV-2026-17910,0.0,0.0,completed,
7129,imported,,2023-04-13,22816.4,expense,Bank Charges,Vendor invoice settlement,Fusion IT Services,,upi,REF2023466676,INV-2023-55901,0.0,0.0,completed,
7130,imported,,2023-08-20,103502.95,expense,Marketing,Vendor invoice settlement,Delta Security Services,,bank_transfer,REF2023813596,INV-2023-71420,0.0,0.0,completed,
7131,imported,,2023-01-03,429.81,expense,Bank Charges,Repair and maintenance work,Delta Security Services,,cheque,REF2023894923,INV-2023-23725,0.0,0.0,completed,
7132,imported,,2022-12-04,27269.36,expense,Salaries,Employee salary disbursement,Prime Stationery,,cash,REF2022870832,INV-2022-99056,0.0,2726.94,completed,
7133,imported,,2024-02-06,341654.08,income,Sales,Invoice payment received,,Retail Buyer,bank_transfer,REF2024881202,INV-2024-62604,36605.79,0.0,completed,
7134,imported,,2026-05-25,89800.83,income,Interest Income,Service contract payment,,Corporate Client,debit_card,REF2026868616,INV-2026-53535,9132.29,0.0,completed,
7135,imported,,2023-12-04,15197.83,expense,Professional Fees,Vendor invoice settlement,Greenfield Packaging,,upi,REF2023129120,INV-2023-89712,0.0,0.0,completed,
7136,imported,,2023-07-04,49718.47,expense,Rent,Electricity bill payment,CloudNet Hosting,,upi,REF2023609640,INV-2023-41332,10875.92,0.0,completed,
7137,duplicate_flagged,Same invoice number as an existing transaction,2024-03-09,77017.13,transfer,Salaries,Inter-account fund transfer,,,bank_transfer,REF2024338598,INV-2024-60010,0.0,0.0,completed,
7138,imported,,2021-09-08,63352.54,expense,Travel,Monthly office rent,Greenfield Packaging,,upi,REF2021518620,INV-2021-67030,0.0,0.0,completed,
7139,duplicate_flagged,Same invoice number as an existing transaction,2022-04-14,183710.65,income,Other Income,Retainer fee received,,Retail Buyer,upi,REF2022183370,INV-2022-22950,43592.36,0.0,completed,
7140,duplicate_flagged,Same invoice number as an existing transaction,2023-10-12,47137.67,expense,Other Expense,Business travel expense,Skyline Advertising,,bank_transfer,REF2023253392,INV-2023-13207,7190.49,0.0,completed,
7141,duplicate_flagged,Same invoice number as an existing transaction,2022-09-24,22242.09,expense,Other Expense,Vendor invoice settlement,,,credit_card,REF2022546359,INV-2022-12211,2383.08,0.0,completed,
7142,duplicate_flagged,Same invoice number as an existing transaction,2024-02-20,487141.44,income,Sales,Export order payment,,Retail Buyer,upi,REF2024242218,INV-2024-95791,45669.51,0.0,pending,
7143,imported,,2022-05-19,37936.09,salary,Salaries,Staff salary - payroll run,,,credit_card,REF2022336446,INV-2022-51320,0.0,0.0,completed,
7144,imported,,2026-03-14,89537.26,transfer,Salaries,Petty cash transfer,,,net_banking,REF2026714416,INV-2026-67849,0.0,895.37,completed,
7145,duplicate_flagged,Same invoice number as an existing transaction,2024-01-27,75195.99,expense,Other Expense,Business travel expense,,,upi,REF2024515734,INV-2024-62996,16449.12,0.0,completed,
7146,imported,,2025-01-24,30648.93,income,Interest Income,Export order payment,,Walk-in Customer,other,REF2025722497,INV-2025-45497,0.0,0.0,completed,
7147,imported,,2021-06-10,135221.34,income,Sales,Retainer fee received,,Corporate Client,upi,REF2021305622,INV-2021-80125,6036.67,0.0,completed,
7148,imported,,2021-09-05,58034.7,expense,Utilities,Vendor invoice settlement,Apex Office Supplies,,upi,REF2021554886,INV-2021-83839,2590.83,0.0,completed,
7149,imported,,2026-04-02,398152.34,income,Sales,Client project milestone payment,,Corporate Client,cash,REF2026687690,INV-2026-99470,0.0,0.0,completed,
7150,duplicate_flagged,Same invoice number as an existing transaction,2024-10-30,86271.35,income,Other Income,Export order payment,,Retail Buyer,upi,REF2024540712,INV-2024-67923,8773.36,0.0,completed,
7151,imported,,2024-01-06,139327.73,salary,Salaries,Monthly salary payout,,,bank_transfer,REF2024857378,INV-2024-41046,0.0,0.0,completed,
7152,imported,,2026-04-03,116768.28,expense,Rent,Employee salary disbursement,,,credit_card,REF2026913630,INV-2026-43451,10947.03,0.0,completed,
7153,imported,,2022-08-15,267862.97,tax,Other Expense,GST liability payment,,,cheque,REF2022373738,INV-2022-69610,0.0,0.0,completed,
7154,imported,,2021-11-28,2572.05,other,Travel,Sundry payment,,,cheque,REF2021870779,INV-2021-55044,0.0,0.0,completed,
7155,imported,,2021-05-25,122876.03,expense,Travel,Monthly office rent,,,cheque,REF2021949635,INV-2021-83239,0.0,0.0,completed,
7156,imported,,2026-02-27,44764.34,income,Sales,Service contract payment,,Corporate Client,wallet,REF2026995510,INV-2026-43338,5115.92,0.0,completed,
7157,imported,,2025-01-05,17467.93,income,Interest Income,Service contract payment,,Retail Buyer,upi,REF2025818198,INV-2025-74136,0.0,0.0,completed,
7158,duplicate_flagged,Same invoice number as an existing transaction,2024-07-28,323979.39,income,Sales,Client project milestone payment,,Corporate Client,cheque,REF2024718442,INV-2024-78969,0.0,0.0,completed,
7159,imported,,2021-06-18,81480.27,expense,Rent,Electricity bill payment,CloudNet Hosting,,cash,REF2021843930,INV-2021-73590,3452.55,0.0,completed,
7160,imported,,2023-06-16,109728.22,tax,Bank Charges,GST liability payment,Greenfield Packaging,,credit_card,REF2023727906,INV-2023-20606,0.0,0.0,completed,
7161,imported,,2022-07-07,137425.45,salary,Salaries,Staff salary - payroll run,,,bank_transfer,REF2022647194,INV-2022-47456,0.0,1374.25,completed,
7162,duplicate_flagged,Same invoice number as an existing transaction,2022-05-22,22426.17,refund,Marketing,GST input refund,,Retail Buyer,net_banking,REF2022818967,INV-2022-48621,0.0,0.0,completed,
7163,imported,,2025-07-16,17303.51,tax,Bank Charges,GST liability payment,Skyline Advertising,,cash,REF2025209347,INV-2025-78148,0.0,0.0,pending,
7164,imported,,2024-12-24,40356.01,expense,Rent,Repair and maintenance work,Fusion IT Services,,bank_transfer,REF2024785800,INV-2024-77790,1801.61,0.0,completed,
7165,imported,,2021-09-03,447461.27,income,Interest Income,Client project milestone payment,,,upi,REF2021272013,INV-2021-99340,51138.43,0.0,completed,
7166,imported,,2025-11-05,320096.52,income,Service Revenue,Invoice payment received,,,bank_transfer,REF2025502563,INV-2025-43376,14290.02,0.0,completed,
7167,imported,,2024-10-27,72966.99,expense,Office Supplies,Business travel expense,,,cash,REF2024457443,INV-2024-97542,0.0,0.0,completed,
7168,imported,,2026-04-27,69455.4,transfer,Rent,Inter-account fund transfer,,,bank_transfer,REF2026566287,INV-2026-18788,0.0,0.0,completed,
7169,imported,,2022-11-24,40802.7,transfer,Bank Charges,Petty cash transfer,,,upi,REF2022376143,INV-2022-18893,0.0,0.0,completed,
7170,imported,,2024-06-06,117919.47,expense,Travel,Software subscription renewal,,,net_banking,REF2024915091,INV-2024-49367,0.0,0.0,completed,
7171,imported,,2022-12-26,83345.71,expense,Professional Fees,Electricity bill payment,Metro Logistics,,upi,REF2022350271,INV-2022-45834,0.0,833.46,completed,
7172,imported,,2023-02-25,4694.93,expense,Travel,Vendor invoice settlement,,,upi,REF2023890395,INV-2023-13703,1027.02,0.0,completed,
7173,imported,,2024-11-03,10341.33,expense,Rent,Software subscription renewal,CloudNet Hosting,,cheque,REF2024890720,INV-2024-59537,2585.33,0.0,completed,
7174,imported,,2025-10-23,213187.35,income,Other Income,Export order payment,,Retail Buyer,upi,REF2025612147,INV-2025-21035,0.0,0.0,completed,
7175,imported,,2025-04-05,52502.45,transfer,Marketing,Petty cash transfer,,,debit_card,REF2025609604,INV-2025-18217,0.0,0.0,completed,
7176,duplicate_flagged,Same invoice number as an existing transaction,2021-06-11,304277.1,income,Other Income,Invoice payment received,,,cheque,REF2021301889,INV-2021-34426,30943.43,0.0,completed,
7177,imported,,2025-06-09,708898.81,investment,Marketing,Fixed deposit placement,,,bank_transfer,REF2025928522,INV-2025-49223,0.0,0.0,completed,
7178,imported,,2024-02-22,52073.25,salary,Salaries,Staff salary - payroll run,,,cheque,REF2024555586,INV-2024-81696,0.0,1041.46,pending,
7179,imported,,2026-05-07,13345.01,other,Marketing,Sundry payment,,,upi,REF2026143566,INV-2026-31318,0.0,0.0,completed,
7180,duplicate_flagged,Same invoice number as an existing transaction,2024-05-25,441156.92,income,Sales,Service contract payment,,Corporate Client,upi,REF2024868242,INV-2024-72304,17232.69,0.0,completed,
7181,duplicate_flagged,Same reference number as an existing transaction,2026-01-14,357676.29,income,Service Revenue,Export order payment,,,cash,REF2026537247,INV-2026-33845,54560.79,0.0,completed,
7182,imported,,2024-05-07,134104.82,expense,Other Expense,Business travel expense,,,bank_transfer,REF2024346797,INV-2024-43960,20456.67,0.0,completed,
7183,imported,,2022-05-15,122701.29,expense,Marketing,Software subscription renewal,CloudNet Hosting,,bank_transfer,REF2022541341,INV-2022-19873,5842.92,0.0,completed,
7184,imported,,2021-07-01,21537.57,refund,Other Expense,GST input refund,,,debit_card,REF2021143156,INV-2021-35436,0.0,0.0,completed,
7185,duplicate_flagged,Same invoice number as an existing transaction,2023-01-10,134180.82,salary,Salaries,Monthly salary payout,,,cash,REF2023602407,INV-2023-35207,0.0,0.0,completed,
7186,imported,,2025-02-14,131058.0,income,Other Income,Client project milestone payment,,,cash,REF2025887692,INV-2025-62384,0.0,0.0,pending,
7187,imported,,2025-10-20,69779.99,expense,Salaries,Raw material purchase,Delta Security Services,,cash,REF2025149130,INV-2025-85147,0.0,0.0,completed,
7188,imported,,2024-10-17,209309.89,income,Sales,Export order payment,,Retail Buyer,bank_transfer,REF2024480046,INV-2024-33655,0.0,0.0,completed,
7189,imported,,2023-09-12,40171.3,expense,Other Expense,Vendor invoice settlement,Skyline Advertising,,credit_card,REF2023270992,INV-2023-93709,1569.19,0.0,completed,
7190,imported,,2025-08-05,18566.84,refund,Professional Fees,Vendor refund received,,Corporate Client,bank_transfer,REF2025313929,INV-2025-61866,0.0,928.34,completed,
7191,imported,,2022-04-08,61746.94,expense,Professional Fees,Electricity bill payment,,,upi,REF2022484722,INV-2022-71255,0.0,6174.69,pending,
7192,imported,,2021-04-22,13014.27,refund,Marketing,Vendor refund received,,Walk-in Customer,upi,REF2021375844,INV-2021-23399,0.0,0.0,pending,
7193,imported,,2025-03-07,49837.46,salary,Salaries,Staff salary - payroll run,,,net_banking,REF2025327736,INV-2025-94788,0.0,0.0,completed,
7194,imported,,2024-02-15,22890.28,expense,Professional Fees,Raw material purchase,,,upi,REF2024586855,INV-2024-26068,0.0,0.0,completed,
7195,imported,,2023-01-26,87596.69,salary,Salaries,Monthly salary payout,,,debit_card,REF2023919265,INV-2023-56873,0.0,0.0,completed,
7196,duplicate_flagged,Same invoice number as an existing transaction,2022-12-17,34682.75,expense,Professional Fees,Courier and freight charges,,,net_banking,REF2022582044,INV-2022-83605,5574.01,0.0,completed,
7197,imported,,2021-07-15,16076.51,other,Professional Fees,Miscellaneous transaction,,,debit_card,REF2021245346,INV-2021-72637,0.0,0.0,completed,
7198,duplicate_flagged,Same reference number as an existing transaction,2024-07-28,397428.75,income,Other Income,Invoice payment received,,Retail Buyer,upi,REF2024833929,INV-2024-18818,42581.65,0.0,completed,
7199,imported,,2024-08-22,284372.82,tax,Bank Charges,Advance tax payment,Horizon Freight,,upi,REF2024361765,INV-2024-97916,0.0,0.0,completed,
7200,imported,,2021-05-17,122746.35,salary,Salaries,Monthly salary payout,,,upi,REF2021654644,INV-2021-65873,0.0,0.0,completed,
7201,imported,,2025-01-03,172471.14,salary,Salaries,Monthly salary payout,,,upi,REF2025341429,INV-2025-57972,0.0,0.0,completed,
7202,imported,,2021-09-05,3500.1,adjustment,Other Expense,Rounding-off adjustment,,,net_banking,REF2021553097,INV-2021-51342,0.0,0.0,cancelled,
7203,duplicate_flagged,Same invoice number as an existing transaction,2023-05-27,248421.19,income,Sales,Retainer fee received,,,other,REF2023749172,INV-2023-88517,0.0,0.0,pending,
7204,duplicate_flagged,Same invoice number as an existing transaction,2025-02-18,100241.94,expense,Office Supplies,Raw material purchase,Fusion IT Services,,bank_transfer,REF2025910347,INV-2025-93231,0.0,0.0,completed,
7205,imported,,2022-03-31,59086.85,expense,Marketing,Raw material purchase,Skyline Advertising,,upi,REF2022310545,INV-2022-45895,12925.25,0.0,completed,
7206,imported,,2023-07-13,327549.96,income,Sales,Client project milestone payment,,Retail Buyer,upi,REF2023720721,INV-2023-51716,0.0,0.0,completed,
7207,duplicate_flagged,Same invoice number as an existing transaction,2022-05-10,35743.86,income,Service Revenue,Service contract payment,,,debit_card,REF2022745678,INV-2022-13049,0.0,0.0,completed,
7208,duplicate_flagged,Same invoice number as an existing transaction,2024-04-15,27949.43,expense,Travel,Raw material purchase,Horizon Freight,,upi,REF2024139431,INV-2024-11800,0.0,0.0,completed,
7209,imported,,2026-04-07,1855882.36,loan,Utilities,Business loan EMI,Horizon Freight,,credit_card,REF2026476233,INV-2026-99733,0.0,0.0,completed,
7210,imported,,2022-10-11,152706.73,income,Service Revenue,Retainer fee received,,,bank_transfer,REF2022951311,INV-2022-86727,0.0,0.0,completed,
7211,imported,,2025-03-08,81502.15,salary,Salaries,Staff salary - payroll run,,,cash,REF2025200978,INV-2025-32847,0.0,1630.04,completed,
7212,imported,,2022-05-13,770807.69,loan,Utilities,Business loan EMI,Horizon Freight,,debit_card,REF2022778956,INV-2022-97056,0.0,0.0,completed,
7213,imported,,2022-08-29,481205.18,income,Other Income,Service contract payment,,Corporate Client,cash,REF2022130455,INV-2022-47271,0.0,0.0,pending,
7214,imported,,2023-10-20,2505.07,adjustment,Other Expense,Rounding-off adjustment,,,bank_transfer,REF2023128275,INV-2023-60131,0.0,0.0,pending,
7215,imported,,2022-12-08,99131.88,expense,Salaries,Electricity bill payment,Delta Security Services,,other,REF2022572798,INV-2022-36352,0.0,991.32,completed,
7216,imported,,2021-09-28,52357.05,expense,Bank Charges,Employee salary disbursement,CloudNet Hosting,,net_banking,REF2021769799,INV-2021-53075,0.0,0.0,completed,
7217,imported,,2026-06-03,476368.89,income,Service Revenue,Retainer fee received,,,bank_transfer,REF2026270775,INV-2026-67159,54442.16,0.0,pending,
7218,imported,,2022-04-13,11101.95,other,Marketing,Miscellaneous transaction,,,cash,REF2022455722,INV-2022-69036,0.0,0.0,completed,
7219,imported,,2025-09-18,156175.62,salary,Salaries,Monthly salary payout,,,cash,REF2025896567,INV-2025-51247,0.0,0.0,pending,
7220,imported,,2022-06-19,118547.25,expense,Professional Fees,Repair and maintenance work,Apex Office Supplies,,bank_transfer,REF2022113885,INV-2022-57112,5023.19,0.0,completed,
7221,imported,,2021-08-10,102763.06,expense,Professional Fees,Raw material purchase,,,net_banking,REF2021388469,INV-2021-97230,4893.48,1027.63,completed,
7222,imported,,2023-12-15,12678.17,transfer,Utilities,Petty cash transfer,,,bank_transfer,REF2023946450,INV-2023-92363,0.0,0.0,completed,
7223,imported,,2021-10-28,149775.33,income,Interest Income,Invoice payment received,,Corporate Client,bank_transfer,REF2021129890,INV-2021-94947,35539.91,0.0,completed,
7224,imported,,2021-12-18,24327.29,refund,Bank Charges,GST input refund,,,cheque,REF2021707050,INV-2021-83353,0.0,0.0,completed,
7225,imported,,2021-09-22,389305.57,income,Other Income,Invoice payment received,,,upi,REF2021676198,INV-2021-28735,17379.71,0.0,completed,
7226,imported,,2024-06-09,73801.88,expense,Salaries,Monthly office rent,Skyline Advertising,,cheque,REF2024218453,INV-2024-82088,0.0,7380.19,completed,
7227,imported,,2021-05-16,60184.37,salary,Salaries,Monthly salary payout,,,other,REF2021564666,INV-2021-34130,0.0,1203.69,completed,
7228,imported,,2021-06-08,2942.59,expense,Bank Charges,Courier and freight charges,Delta Security Services,,bank_transfer,REF2021247286,INV-2021-37462,0.0,0.0,completed,
7229,imported,,2023-09-04,84073.19,expense,Professional Fees,Monthly office rent,,,upi,REF2023730088,INV-2023-34233,3284.11,4203.66,completed,
7230,imported,,2023-09-05,2079.69,other,Utilities,Miscellaneous transaction,,,debit_card,REF2023560916,INV-2023-22324,0.0,0.0,completed,
7231,duplicate_flagged,Same invoice number as an existing transaction,2023-09-15,141872.9,expense,Rent,Raw material purchase,,,wallet,REF2023443201,INV-2023-36996,0.0,0.0,completed,
7232,imported,,2022-11-18,12914.02,other,Professional Fees,Miscellaneous transaction,,,upi,REF2022727298,INV-2022-61100,0.0,645.7,completed,
7233,imported,,2026-05-24,144941.88,expense,Marketing,Electricity bill payment,Metro Logistics,,credit_card,REF2026638774,INV-2026-94367,34392.99,0.0,completed,
7234,imported,,2023-04-05,103020.1,income,Sales,Retainer fee received,,,credit_card,REF2023230419,INV-2023-56500,16556.8,0.0,completed,
7235,imported,,2025-05-16,61215.45,income,Service Revenue,Invoice payment received,,Corporate Client,bank_transfer,REF2025890770,INV-2025-86209,16324.12,0.0,completed,
7236,imported,,2023-04-10,23789.59,income,Service Revenue,Invoice payment received,,,upi,REF2023701275,INV-2023-98849,3823.33,0.0,completed,
7237,imported,,2021-12-14,8369.83,expense,Professional Fees,Vendor invoice settlement,,,cheque,REF2021546141,INV-2021-53926,1986.06,418.49,completed,50% advance; balance on delivery
7238,duplicate_flagged,Same invoice number as an existing transaction,2026-01-07,48410.68,expense,Utilities,Courier and freight charges,Delta Security Services,,cheque,REF2026355625,INV-2026-27396,12909.51,0.0,completed,
7239,imported,,2023-12-26,33021.96,expense,Other Expense,Electricity bill payment,,,cash,REF2023439235,INV-2023-12244,1399.24,0.0,completed,
7240,duplicate_flagged,Same invoice number as an existing transaction,2025-02-23,166482.17,salary,Salaries,Staff salary - payroll run,,,wallet,REF2025183798,INV-2025-84828,0.0,8324.11,pending,
7241,duplicate_flagged,Same invoice number as an existing transaction,2024-01-30,353392.0,income,Service Revenue,Invoice payment received,,Retail Buyer,net_banking,REF2024652619,INV-2024-29272,13804.38,0.0,completed,
7242,imported,,2023-03-06,139332.95,expense,Utilities,Raw material purchase,Reliable Electricals,,wallet,REF2023775581,INV-2023-99292,6220.22,0.0,completed,
7243,imported,,2024-03-27,140474.9,expense,Office Supplies,Software subscription renewal,Greenfield Packaging,,debit_card,REF2024262775,INV-2024-46049,0.0,0.0,completed,
7244,imported,,2026-01-02,430923.17,income,Sales,Retainer fee received,,Walk-in Customer,upi,REF2026444844,INV-2026-58447,18259.46,0.0,completed,
7245,imported,,2026-05-05,126430.23,expense,Bank Charges,Vendor invoice settlement,Fusion IT Services,,cash,REF2026269403,INV-2026-59905,0.0,0.0,completed,
7246,imported,,2021-04-09,57826.1,expense,Bank Charges,Electricity bill payment,Greenfield Packaging,,cash,REF2021431665,INV-2021-54086,0.0,0.0,completed,
7247,imported,,2022-04-29,40335.14,expense,Other Expense,Software subscription renewal,,,upi,REF2022960777,INV-2022-34384,1575.59,0.0,completed,
7248,imported,,2026-04-09,113751.3,expense,Office Supplies,Monthly office rent,Apex Office Supplies,,bank_transfer,REF2026596725,INV-2026-88803,5078.18,0.0,completed,
